;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(averageRisk);();false;0.0;9;0;1.0001598724E9;9.99444863E8;1.00128411E9;518622.6001269988;1.14948833958E10;1.1291703785E10;1.1761682805E10;1.5139278522675177E8;30162;4.901277954E9;4.49071343E9;6.840582312E9;6.967064947948084E8;2.493163668E8;1.8512325E8;5.11305922E8;1.2672459677472289E8;7.99444067E7;7.630279E7;8.5550318E7;2653042.2253379673;30834.7;29638.0;31348.0;627.2173201264986;1.250954248E8;1.10929865E8;1.36678174E8;6803417.4154636245;28440.6;26218.0;30778.0;1729.6684460709034;5.44756041E7;5.2198803E7;5.7417316E7;1470175.8558251495;4.3907389644E9;3.986054329E9;6.390311213E9;7.158809766383315E8;316005.7712886067;4.5098581211E9;4.028618605E9;7.086735256E9;9.090569984928102E8;30162;1.090196025E8;1.02908312E8;1.14950332E8;4603623.4278864935;59503.0;40466.0;194925.0;47636.271325301874;4.4006980245E9;3.923452699E9;6.971513625E9;9.070052313701662E8;316005.7712886067
cup;(averageRisk);();false;0.0;9;0;9.998951283E8;9.99423205E8;1.000780269E9;430537.8612632369;6.40786090576E10;6.0230374295E10;6.8922316207E10;2.983194451512257E9;63441;4.7926263718E9;4.332036115E9;5.200414585E9;2.602011910718923E8;4.387430087E8;3.51235635E8;8.30066064E8;1.6631386470418236E8;1.417727212E8;1.30366487E8;1.55205716E8;6903064.23764292;31689.5;30208.0;34767.0;1401.190069587674;3.870166419E8;3.09258983E8;7.39573092E8;1.5071305860362437E8;29067.7;26787.0;31347.0;1396.1638752906717;1.893935844E8;1.10830123E8;5.37016613E8;1.6272213692797646E8;3.63378565E9;3.319155121E9;3.983590981E9;2.4734919534690973E8;1854120.8006702876;5.0082986087E9;3.792236408E9;9.18588357E9;2.164491192253868E9;63441;3.802624989E8;2.94113557E8;7.27910093E8;1.5970988062581047E8;47135.3;42176.0;64975.0;7199.791047122286;4.627910093E9;3.350555109E9;8.881310761E9;2.2086666856212816E9;1854120.8006702876
fars;(averageRisk);();false;0.0;9;0;1.0001879712E9;9.99457972E8;1.001016801E9;472271.72421953117;4.16579269123E10;3.9688797468E10;4.2552045199E10;7.919782455294871E8;100937;1.22135522305E10;1.2040049062E10;1.2590427142E10;1.7624328025464702E8;6.041248248E8;5.02072073E8;9.49514483E8;1.714868986341969E8;2.505608647E8;2.18585336E8;2.61736666E8;1.2275057328031607E7;37788.0;29067.0;98602.0;21423.736368803646;5.26195382E8;3.36901255E8;8.67727582E8;2.3991986661401722E8;29352.9;27358.0;30778.0;1178.8921777103565;2.753270831E8;1.74254199E8;6.77777949E8;2.0629892833509943E8;1.05555539026E10;1.0336978199E10;1.0894517769E10;2.2023810839700207E8;1141904.818787052;1.06022567386E10;1.0480298633E10;1.0709184206E10;7.804043964029008E7;100937;3.947450675E8;3.56751094E8;4.81005379E8;5.450568895098997E7;43259.9;40467.0;45027.0;1599.7179230518527;1.02073916958E10;1.0121393108E10;1.0343460302E10;8.572397619997443E7;1141904.818787052
