;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(populationUniqueness);();false;0.0;9;0;1.0007887614E9;1.000263889E9;1.001168409E9;339149.89195149555;1.19862238911E10;1.0588731524E10;1.4089171245E10;1.31534225554549E9;30162;3.0636225914E9;2.121680935E9;4.788677037E9;1.1590535906078048E9;3.073268346E8;1.94044763E8;9.10067865E8;2.3347453282503453E8;1.22122537E8;7.9720243E7;3.3938797E8;8.236973030753602E7;2203105.7;73524.0;2.1193795E7;6672670.029940606;1.626131433E8;1.16004179E8;3.1225638E8;6.990944459298575E7;277397.4;64405.0;1955518.0;590071.0308804073;3.837431597E8;5.7669235E7;2.755824233E9;8.397217341097412E8;2.0414257892E9;1.454578253E9;4.12380516E9;8.901201489082584E8;42571.8694091557;1.8552189968E9;1.586171284E9;2.213077857E9;2.1757084429220757E8;30162;1.934539476E8;1.12262992E8;4.85955442E8;1.404321609332032E8;138670.3;97463.0;247361.0;56087.25625913411;1.6577377441E9;1.468075939E9;1.997504165E9;1.8173593563386348E8;42571.8694091557
cup;(populationUniqueness);();false;0.0;9;0;1.0006877653E9;1.000092903E9;1.001627793E9;519167.0582710241;6.42248095923E10;4.7624411877E10;9.179747031E10;1.3857473562334644E10;63441;8.650189927404E11;8.60608398978E11;8.74002207438E11;4.195013868908565E9;4.101992963E8;3.77516852E8;5.52448158E8;5.130966537547281E7;1.452511596E8;1.33060097E8;1.53445125E8;6503927.811750275;86747.2;61555.0;139069.0;32183.09756447388;4.574783004E8;3.32048084E8;7.74100995E8;1.7635030220897093E8;65943.8;53576.0;130519.0;23118.752238532823;2.272682093E8;1.2059175E8;7.42587017E8;2.195027244472816E8;8.637706880447E11;8.59620173688E11;8.72991747045E11;4.1812619853251863E9;789422.2777898485;8.611881295944E11;8.54850229949E11;8.68866763787E11;3.959552011189949E9;63441;3.229086195E8;3.05942983E8;3.47488178E8;1.186136445605295E7;113933.9;90623.0;266739.0;53939.36640844463;8.608648941052E11;8.54529345013E11;8.68529248691E11;3.9558471412448673E9;789422.2777898485
fars;(populationUniqueness);();false;0.0;9;0;1.0010636509E9;9.99429475E8;1.003626627E9;1127586.2898802368;4.24919374097E10;3.8893430864E10;4.3390529506E10;1.3086885918795354E9;100937;1.097736630982E11;1.08855843441E11;1.16054242663E11;2.2302618235899186E9;5.314904395E8;5.08742832E8;5.40753812E8;9320848.63777581;2.463224475E8;2.13885483E8;2.55900891E8;1.3081986755076762E7;67140.7;62125.0;74094.0;4151.957478105959;4.968539598E8;3.37578362E8;7.42035299E8;2.0162543384985286E8;57964.4;54715.0;64405.0;3179.6806338582705;4.221987969E8;1.89052523E8;7.25863382E8;2.0742380008244038E8;1.08072539602E11;1.07149809379E11;1.14259213473E11;2.195825920548994E9;314300.6933914329;1.081566382429E11;1.07998927344E11;1.084561519E11;1.5433829591876173E8;100937;4.2236682E8;3.6526281E8;5.53779004E8;8.39681210853527E7;108690.5;94613.0;149329.0;16409.557420059267;1.077339292788E11;1.07468804912E11;1.08089219691E11;2.13613170943885E8;314300.6933914329
