;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(hierarchicalDistanceTCloseness);();false;0.0;9;0;1.0011048588E9;9.99394708E8;1.011105583E9;3532689.521058953;1.15060534971E10;1.1021931887E10;1.390282658E10;8.476971577330612E8;30162;9.7802276745E9;8.865854138E9;1.1807808732E10;9.428233415077915E8;2.264044986E8;1.88479718E8;5.14457776E8;1.0128325312883961E8;7.98996081E7;7.3881049E7;8.2974119E7;2464925.643842717;47933.1;45596.0;55286.0;2732.8685966702947;1.593352153E8;1.11112251E8;4.56193507E8;1.0446420007523659E8;57964.7;54716.0;63266.0;3168.404893107361;5.70501498E7;5.5639054E7;5.8977853E7;1130619.2119785808;9.2552677282E9;8.394782514E9;1.1349550277E10;9.862054509749851E8;390765.61326019815;8.4289991635E9;8.315760466E9;8.595077408E9;1.0336374619290788E8;30162;1.194332021E8;1.0574897E8;1.69533828E8;1.805180934620752E7;697682.4;631511.0;790529.0;50218.37665680209;8.3087313759E9;8.195566544E9;8.470517628E9;9.736898205583239E7;390765.61326019815
cup;(hierarchicalDistanceTCloseness);();false;0.0;9;0;1.000178282E9;9.99574813E8;1.00089825E9;388553.9201509446;6.90179104519E10;5.9550451034E10;7.7400834871E10;5.166504362519998E9;63441;1.77431326064E11;1.74848277852E11;1.80472586566E11;1.9009375659076037E9;4.439968013E8;3.65050786E8;7.32483985E8;1.512173432378824E8;1.909256249E8;1.29890004E8;5.97442154E8;1.4297371202386954E8;49130.3;45026.0;63835.0;5297.791784214333;3.651079526E8;3.10639415E8;7.5969423E8;1.3877704455402383E8;57394.5;53006.0;63835.0;2714.139571044774;1.187185351E8;1.17180567E8;1.2060885E8;1107677.9803789197;1.763100312165E11;1.73441110205E11;1.79149177867E11;1.8872137727215424E9;1440804.7181845382;1.720804614132E11;1.71018469407E11;1.73837146621E11;8.095853872939446E8;63441;3.067401793E8;2.94156304E8;3.17989562E8;8807937.844364645;5925656.1;5826085.0;6266091.0;128514.62358074276;1.717676648296E11;1.70715217754E11;1.73515451778E11;8.072176962027537E8;1440804.7181845382
fars;(hierarchicalDistanceTCloseness);();false;0.0;9;0;1.0001486441E9;9.99493309E8;1.001007681E9;448557.6729670953;4.22013343226E10;4.1211806855E10;4.432185443E10;9.33866360383398E8;100937;2.61209356046E10;2.6002249045E10;2.6254666938E10;1.0043625182810125E8;5.337342401E8;5.28715212E8;5.44284116E8;5854647.4389613;2.99296675E8;2.26745959E8;6.9594471E8;1.397899379671168E8;48446.4;46737.0;49587.0;1107.6522920122543;4.558430413E8;3.35798961E8;7.53627055E8;1.8555592273249835E8;56197.7;53006.0;59845.0;2101.6885830208053;3.857559577E8;1.82777313E8;6.09084064E8;2.1069924565127897E8;2.44441068597E10;2.429842185E10;2.4729259178E10;1.3924226390362176E8;1098846.557710403;2.51748005582E10;2.4814432185E10;2.5464254387E10;2.070457059341661E8;100937;3.93226478E8;3.51143302E8;5.40071575E8;7.497543404113117E7;746926.5;669698.0;804777.0;48994.803768132166;2.47807116236E10;2.4453790005E10;2.5094388618E10;1.9007724218262535E8;1098846.557710403
