;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(equalDistanceTCloseness);();false;0.0;9;0;9.997387893E8;9.99445434E8;1.000478192E9;314622.1601777281;1.12647463727E10;1.108168089E10;1.1470185914E10;1.2545087495408382E8;30162;1.01462414573E10;9.014300183E9;1.2985987075E10;1.3994502123624718E9;1.950797453E8;1.90045956E8;2.04359817E8;4393725.554082904;8.04797086E7;7.936573E7;8.2077579E7;1042493.2481169256;66000.9;33627.0;186945.0;51046.04292520843;1.293573238E8;1.24665792E8;1.39575828E8;5093026.433908969;64690.1;30777.0;153888.0;38345.23850333673;5.58873836E7;5.4957957E7;5.7815714E7;813395.7869567147;9.6833777044E9;8.555741931E9;1.2522075801E10;1.397662110830874E9;415585.50765749405;8.3623690884E9;8.27806646E9;8.494901463E9;6.306826399799125E7;30162;1.132834964E8;1.08382164E8;1.19405673E8;3649017.652100424;50954.1;42176.0;91193.0;14321.428144567148;8.2489259475E9;8.168877239E9;8.378244686E9;6.130716253392263E7;415585.50765749405
cup;(equalDistanceTCloseness);();false;0.0;9;0;1.0000351093E9;9.99599321E8;1.000360212E9;305980.78431316564;6.64231284514E10;6.0759734697E10;7.1594790151E10;3.507102929038573E9;63441;1.548752121802E11;1.52607673994E11;1.57960274673E11;1.6026529132590895E9;4.584226597E8;3.65131149E8;8.06157571E8;1.796679865974943E8;1.485298283E8;1.43327274E8;1.54063527E8;3159743.200005168;37560.0;32487.0;51866.0;5476.490076276552;3.666580034E8;3.14867915E8;7.24403157E8;1.2608679237408336E8;35622.4;31347.0;42177.0;3637.239374397383;1.620515662E8;1.14465299E8;5.72935208E8;1.44376608699597E8;1.537371242785E11;1.51219276693E11;1.56978573664E11;1.6041174442567108E9;1952803.1239501731;1.503384050822E11;1.47052143517E11;1.55673210895E11;2.878628134477844E9;63441;3.425402232E8;2.99754976E8;4.34187525E8;5.10415889095404E7;127100.3;35338.0;727264.0;215678.4152209797;1.499956061563E11;1.46737435759E11;1.55352467879E11;2.8925939650159554E9;1952803.1239501731
fars;(equalDistanceTCloseness);();false;0.0;9;0;1.0004054093E9;9.99390147E8;1.002848067E9;960780.663424633;4.26315786115E10;4.1468480037E10;4.3653980028E10;8.890128700217904E8;100937;2.57334800968E10;2.5584042501E10;2.5854519434E10;9.178075046773909E7;5.886349738E8;5.176045E8;8.51425715E8;1.2316538529503158E8;2.513116672E8;2.41170392E8;2.61950969E8;5782500.114853893;34254.4;31918.0;36478.0;1355.3817174508442;4.206376889E8;3.31861708E8;7.87028725E8;1.7499845790814406E8;33171.3;31347.0;34767.0;998.2038368990573;2.906745025E8;1.78102539E8;5.8891106E8;1.784217790044827E8;2.41802153064E10;2.3903361199E10;2.446625949E10;2.121234650504E8;1148462.503554068;2.4511435929E10;2.4149884043E10;2.4794667269E10;2.5583459794992727E8;100937;3.687643309E8;3.511661E8;4.42876497E8;2.656749692334558E7;33627.4;31347.0;35907.0;1566.8206449154713;2.41425289383E10;2.3706840549E10;2.443503676E10;2.728898124468137E8;1148462.503554068
