;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(recursiveCLDiversity);();false;0.0;9;0;9.999746371E8;9.99502429E8;1.000470214E9;367467.3993556587;1.18969128364E10;1.1027173767E10;1.4213605636E10;1.2477339684046383E9;30162;4.3328579904E9;4.145185329E9;4.763279251E9;1.8342665178665116E8;2.438259285E8;1.89395066E8;4.59077481E8;1.0615316365880531E8;8.30175493E7;7.8513647E7;8.5901411E7;2381945.843772554;105099.8;45026.0;573945.0;165327.035386634;1.268328771E8;1.13920992E8;1.3046452E8;5114339.460519835;61042.3;50726.0;85493.0;9439.877801115861;6.21606556E7;6.1012594E7;6.4461395E7;942250.5381012232;3.8146699701E9;3.67673835E9;4.293101316E9;1.785405887033626E8;195181.88881061377;3.8630329154E9;3.688274249E9;3.942563876E9;9.544643153531729E7;30162;1.512317022E8;1.11203444E8;3.03900262E8;7.851239162672058E7;55399.6;45026.0;94042.0;15214.696303245755;3.7116196824E9;3.57495513E9;3.831178617E9;1.051147104226091E8;195181.88881061377
cup;(recursiveCLDiversity);();false;0.0;9;0;1.000100882E9;9.99387867E8;1.001127942E9;567248.7280148317;6.56127850134E10;5.7293381164E10;7.4299773785E10;5.293908369820742E9;63441;1.42944259493E10;1.0347491027E10;1.6285833244E10;2.5856293193004637E9;3.667318126E8;3.59656157E8;3.70329144E8;3077752.213288501;1.467989873E8;1.3953821E8;1.58838043E8;6382704.992828251;47591.5;44457.0;57566.0;3811.6820798405756;3.247528816E8;3.12597783E8;3.41080739E8;7993396.919768523;63378.8;54146.0;116840.0;19016.930537462315;8.92456924E8;1.26207522E8;5.435893402E9;1.6102812650158014E9;1.25610630923E10;9.092920982E9;1.4921944027E10;2.758834210694864E9;1202354.6618344877;9.6576907799E9;9.524576196E9;1.00116516E10;1.4414348278705394E8;63441;3.36245122E8;2.93422771E8;4.20533672E8;5.781725623159198E7;48161.3;45597.0;50726.0;1725.5222108103972;9.3212652671E9;9.124697139E9;9.711710248E9;1.756675922512665E8;1202354.6618344877
fars;(recursiveCLDiversity);();false;0.0;9;0;1.0002658842E9;9.99689374E8;1.001116542E9;429642.01417324686;4.14884576607E10;4.0847481053E10;4.2621358626E10;6.164063733673698E8;100937;1.27430755255E10;1.236064161E10;1.3223579856E10;3.1443581223563015E8;6.692793426E8;5.13342373E8;1.046724381E9;2.2970991903333807E8;3.044639483E8;2.41221688E8;7.48089937E8;1.5597406704239652E8;47078.3;45596.0;49586.0;1524.6263695301438;5.29277302E8;3.33272348E8;9.06335226E8;2.433424023927349E8;55912.7;53006.0;59845.0;2286.8176359298964;2.852578165E8;2.00089711E8;6.71511288E8;1.794743935087091E8;1.09525563359E10;1.0656961465E10;1.1392254761E10;2.6607694302009535E8;585933.0095846694;1.11944929191E10;1.1097725706E10;1.143771156E10;1.123632209896173E8;100937;4.456266465E8;3.48832703E8;5.47044981E8;9.58910881637898E7;48617.1;45596.0;51866.0;1900.773202322325;1.07486921514E10;1.0606362527E10;1.0906499943E10;8.152448519341867E7;585933.0095846694
