;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(dDisclosurePrivacy);();false;0.0;9;0;1.0006366971E9;9.9961813E8;1.002662262E9;857104.3793802286;1.13460517759E10;1.1122545558E10;1.1529301126E10;1.1726560216574909E8;30162;1.05807353905E10;9.402998992E9;1.3101362592E10;1.3748913928343832E9;1.970199878E8;1.87311309E8;2.08456087E8;7044345.974648112;8.05341964E7;7.8418464E7;8.4100351E7;1637329.326878323;34653.5;32488.0;36477.0;1337.8815136044166;2.182271194E8;1.21201033E8;4.61495233E8;1.4689192722326404E8;35109.1;30778.0;49586.0;5245.73645820002;7.751765E7;4.8912439E7;3.28889391E8;8.832470390041064E7;1.00054596036E10;8.633483859E9;1.2360981874E10;1.3938867197089555E9;455884.9365769584;8.2876236449E9;8.225495477E9;8.507345302E9;8.181231593139471E7;30162;1.207767583E8;1.07571687E8;1.60883613E8;1.925579494003416E7;56368.5;37617.0;205184.0;52363.926862870016;8.1666761279E9;8.066241366E9;8.395282934E9;8.981697907774644E7;455884.9365769584
cup;(dDisclosurePrivacy);();false;0.0;9;0;1.0001492142E9;9.99424915E8;1.000976334E9;527174.832562068;6.78083403294E10;6.0856528527E10;7.7224759094E10;4.963622096867537E9;63441;1.551948476594E11;1.5010472248E11;1.60456096044E11;3.031820700556528E9;4.148199256E8;3.65611622E8;7.72482322E8;1.258333946593944E8;1.467584636E8;1.33953787E8;1.54913329E8;5428469.465935213;38472.1;32488.0;52436.0;6045.328250438975;3.284671673E8;3.15845389E8;3.49615821E8;1.1508469500875808E7;34938.1;32487.0;39327.0;2011.6590416867366;1.765520884E8;1.02319547E8;4.72875534E8;1.51453093223325E8;1.541259929336E11;1.48752815437E11;1.59496968122E11;3.1620238306559052E9;2206749.4374459223;1.495218691919E11;1.46690678321E11;1.5434605246E11;2.108483718338146E9;63441;3.040179014E8;2.97672929E8;3.12846283E8;4095068.9498658483;40580.9;37047.0;45597.0;2146.278663174938;1.492177036721E11;1.46384787774E11;1.54048219943E11;2.1102947569799592E9;2206749.4374459223
fars;(dDisclosurePrivacy);();false;0.0;9;0;1.0000793945E9;9.99332582E8;1.000707884E9;472921.00467749016;4.29551458146E10;4.1339937977E10;4.4428420716E10;8.362207961073459E8;100937;2.56457507827E10;2.5134800171E10;2.6276494523E10;3.435739716895007E8;5.927464044E8;5.2515812E8;8.94106261E8;1.3006141243592444E8;2.54806292E8;2.47250678E8;2.60994584E8;4636834.7230991535;34026.3;32487.0;36477.0;1371.098428268372;5.495661785E8;3.31213099E8;8.22518713E8;2.228010034868259E8;32886.3;31347.0;35907.0;1344.605605124913;2.371825846E8;1.5811249E8;5.4243461E8;1.572754105873865E8;2.40094474681E10;2.3480295784E10;2.4599767003E10;3.181745463113409E8;1509404.7206421378;2.46008968819E10;2.3925412206E10;2.5322735011E10;4.4609269907663107E8;100937;3.899021557E8;3.53371258E8;4.85820933E8;5.114923050801129E7;41663.8;37617.0;63266.0;7677.428096555368;2.42108481337E10;2.3569976569E10;2.4953569147E10;4.5788839117631227E8;1509404.7206421378
