;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(entropyLDiversity);();false;0.0;9;0;9.999544604E8;9.99693364E8;1.00025135E9;208363.08199721412;1.13960898204E10;1.0986572418E10;1.381513437E10;8.538052112207415E8;30162;4.8051281743E9;4.391150757E9;6.598649889E9;6.361744878522977E8;1.990486874E8;1.78226788E8;2.11647268E8;9576981.329478607;8.14552445E7;7.6057139E7;8.4197243E7;2677451.673164045;53233.9;44457.0;90053.0;14339.030375168331;4.15489053E8;1.21676945E8;2.52681897E9;7.480321344238043E8;62923.1;51866.0;82074.0;9242.226805387445;7.16855806E7;4.685889E7;2.77773503E8;7.242081473043615E7;4.034951665E9;3.734497639E9;4.226526526E9;1.79294307762785E8;195181.88881061377;4.3509114446E9;3.931927938E9;7.317465773E9;1.0450007117173823E9;30162;1.129356525E8;1.08075528E8;1.16264078E8;2506267.0879866667;71928.6;49016.0;149329.0;30719.953451208945;4.2377607473E9;3.818409334E9;7.204047481E9;1.04500330226873E9;195181.88881061377
cup;(entropyLDiversity);();false;0.0;9;0;1.0001117681E9;9.99403257E8;1.000442285E9;324415.6673691091;6.45200563915E10;5.7181960567E10;7.3135078309E10;4.3974955173386E9;63441;1.53665546135E10;1.1312830325E10;1.6527625457E10;2.1045377171379814E9;8.840930554E8;3.57869916E8;5.233482263E9;1.5317989625674837E9;1.452627863E8;1.39395721E8;1.55007942E8;5041210.564926732;49757.0;45026.0;66114.0;6844.89181799099;4.056999537E8;3.13059447E8;7.58483645E8;1.8116426644383532E8;57337.6;54715.0;60986.0;1996.3694380883849;1.743207127E8;9.8819451E7;5.81114069E8;1.6359655795559457E8;1.37543788825E10;1.01166317E10;1.5605130284E10;2.388092444060077E9;1202354.6618344877;1.02265633453E10;1.0092368695E10;1.0358570962E10;7.938652638847698E7;63441;3.259721303E8;2.94678383E8;4.26047421E8;5.1374603199896894E7;48902.1;45027.0;56426.0;3072.929997033233;9.9004108808E9;9.748865076E9;1.0055911493E10;9.724349570176716E7;1202354.6618344877
fars;(entropyLDiversity);();false;0.0;9;0;9.999061282E8;9.99459112E8;1.000551147E9;355413.2218877376;4.18323815649E10;4.124185092E10;4.305095744E10;5.923137035020868E8;100937;1.40098272294E10;1.3731732214E10;1.4519257371E10;2.6542216385530064E8;6.365180166E8;5.07953443E8;9.47940266E8;1.5999344537337607E8;2.487770183E8;2.26008437E8;2.64618361E8;1.2228520683274383E7;49643.0;45597.0;64405.0;5416.780429574585;5.056678654E8;3.33415977E8;8.15315046E8;2.1641945637592986E8;59389.5;56426.0;62695.0;1716.1003111059033;2.352523165E8;1.54925869E8;5.44671116E8;1.6007282824989426E8;1.23813785855E10;1.2090439396E10;1.2806124513E10;2.2049299334033284E8;590389.0228300437;1.26520224585E10;1.2413237672E10;1.3058344632E10;2.1907004254975155E8;100937;3.978704185E8;3.47966941E8;5.38023155E8;7.342927715816887E7;48845.2;46166.0;52436.0;1803.3800240412754;1.22539787736E10;1.2031862791E10;1.2701087418E10;2.017101934766574E8;590389.0228300437
