;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(edDifferentialPrivacy);();false;0.0;9;0;1.000204614E9;9.99438594E8;1.00346248E9;1182151.6361694045;1.16949104687E10;1.1194394716E10;1.3316391977E10;6.08416788623118E8;30162;1.1171283589E9;9.34689371E8;1.969480024E9;3.2313608970013815E8;1.948699447E8;1.87070218E8;2.04745677E8;4393869.529242889;8.3047187E7;7.6231546E7;8.6838417E7;3535106.128857866;32772.2;28498.0;42177.0;3577.246172375865;1.310878797E8;1.26914267E8;1.3839773E8;3467595.5917510865;28953.9;26788.0;30208.0;1068.0518557947767;6.151157321E8;4.95049651E8;9.26824556E8;1.603116845315069E8;9.05702576E7;2.8763943E7;6.34085162E8;1.9098291183180037E8;0.0;9.272963648E8;5.68569349E8;3.15184013E9;7.96821267620008E8;30162;4.405164252E8;1.11536868E8;2.693150218E9;8.028659995261353E8;4.523795354E8;4.23506559E8;6.74392983E8;7.803824354596025E7;3.43176463E7;2.828746E7;7.2451031E7;1.3500502834366223E7;0.0
cup;(edDifferentialPrivacy);();false;0.0;9;0;1.000268791E9;9.99777717E8;1.000853223E9;392811.07975548075;6.54949543549E10;5.6378477227E10;7.0075641071E10;4.494362425954136E9;63441;1.9203271202E9;1.597814335E9;2.092808131E9;1.2625972092694889E8;4.400521395E8;3.6742579E8;7.2423388E8;1.460776461727093E8;1.449974721E8;1.36917555E8;1.53695335E8;5857884.418740219;32544.5;30207.0;45026.0;4442.84223967796;3.939888505E8;3.0803301E8;6.9134175E8;1.440439516267369E8;28554.9;26788.0;31348.0;1355.4984691986929;8.249595474E8;6.38945741E8;1.125744148E9;1.9757941643718976E8;1.143687485E8;1.11392099E8;1.16350142E8;1378066.4339037787;0.0;1.0592282348E9;8.98568443E8;1.230912333E9;1.552367089220002E8;63441;4.657907021E8;3.02449726E8;6.3551176E8;1.5632992755913132E8;4.775960192E8;4.72333506E8;4.82953487E8;3514637.365341814;1.157593832E8;1.13718088E8;1.18216746E8;1433913.3150315764;0.0
fars;(edDifferentialPrivacy);();false;0.0;9;0;1.0001513231E9;9.99557715E8;1.000667988E9;373349.52581356134;4.27357176281E10;3.9895773381E10;4.4438320273E10;1.2644886671878366E9;100937;2.5556017218E9;2.214960989E9;2.918357867E9;2.5379819407179236E8;6.719470194E8;4.95679453E8;1.103267383E9;2.472891240891358E8;2.417429124E8;2.09505375E8;2.59654618E8;1.9510677917125184E7;30663.5;29067.0;33057.0;1416.6087243052605;4.757888612E8;3.35153201E8;8.27214576E8;2.1063379956238928E8;28440.7;26788.0;29638.0;909.134515166302;9.898279476E8;7.12552643E8;1.177048691E9;1.921298376107163E8;1.745799855E8;9.0355613E7;5.09759633E8;1.735008260424973E8;0.0;1.0958869732E9;9.31801977E8;1.340191608E9;1.739949085532027E8;100937;5.018984076E8;3.4886975E8;7.68485794E8;1.9160367882691967E8;5.022016242E8;4.77992024E8;5.82807977E8;3.2964507896397624E7;9.17044122E7;9.0431987E7;9.3875088E7;1077726.4187472316;0.0
