;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(basicBLikeness);();false;0.0;9;0;1.0004294614E9;9.99829013E8;1.001082915E9;370525.12446922314;1.18899492909E10;1.1442996187E10;1.4807947231E10;1.0274944595647346E9;30162;1.00410003745E10;9.214981508E9;1.2058879251E10;9.609625029128314E8;2.327058696E8;1.96510391E8;4.97396159E8;9.311944359002765E7;7.79965267E7;7.5812058E7;8.0368852E7;1334497.669161284;48275.1;45026.0;63265.0;5856.104648617164;1.939993376E8;1.24249155E8;4.69625648E8;1.3565263691705042E8;65487.9;58135.0;82074.0;8629.081713085763;6.00213276E7;5.7929705E7;6.4505281E7;2362926.2869288535;9.4731002672E9;8.746581264E9;1.1572597794E10;9.256832019236144E8;347909.6108937504;8.6083243707E9;8.476424076E9;8.804166147E9;1.1640691676039927E8;30162;1.230978446E8;1.10552554E8;1.89006356E8;2.353679403530939E7;62923.1;54145.0;87203.0;12351.151781199284;8.4850093159E9;8.360788089E9;8.693353122E9;1.1821568285007457E8;347909.6108937504
cup;(basicBLikeness);();false;0.0;9;0;1.0012358344E9;1.000116271E9;1.006441067E9;1865760.3499806244;6.70204890445E10;6.1743339928E10;7.2601226088E10;3.6240020941894364E9;63441;1.565725666176E11;1.52731598845E11;1.61643757306E11;2.876724951617649E9;3.802581668E8;3.66746403E8;3.87839316E8;7256981.210316829;1.451072455E8;1.37599792E8;1.51262765E8;4551099.038793651;45767.3;43886.0;47876.0;1472.7489829114352;3.6930026E8;3.18183916E8;6.99545119E8;1.16285452734488E8;61897.2;55286.0;82644.0;8083.799543943843;1.686670967E8;1.18506853E8;5.82555487E8;1.45456706356172E8;1.55476920223E11;1.51760988599E11;1.60636375243E11;2.849757352850309E9;2136570.8799262443;1.513170080987E11;1.4858085474E11;1.57296216123E11;2.5604512732494974E9;63441;3.302653199E8;3.09296601E8;4.39152978E8;3.914644474952791E7;59047.2;55855.0;72954.0;5501.024910565909;1.509865362836E11;1.48263013366E11;1.56856859101E11;2.527283456367373E9;2136570.8799262443
fars;(basicBLikeness);();false;0.0;9;0;1.0010736249E9;1.000279278E9;1.004022746E9;1109433.5165274865;4.20877852843E10;4.1398866244E10;4.2913019094E10;5.887846422614301E8;100937;2.66556089606E10;2.6325009134E10;2.7238976634E10;2.577867923226934E8;6.058957903E8;5.34218132E8;8.45261077E8;1.2489910608285953E8;2.872867441E8;2.41471899E8;6.3205783E8;1.2124179134071958E8;46337.3;43317.0;52436.0;2740.741304829772;3.939181761E8;3.37909506E8;7.93766169E8;1.406883389345628E8;60871.2;56426.0;70675.0;3965.342882750214;3.205529935E8;1.88853039E8;6.44560374E8;2.033190710277208E8;2.50447145463E10;2.466802658E10;2.5579744466E10;3.0733020621694624E8;1201007.0880104564;2.57530054606E10;2.5285724952E10;2.6329999094E10;2.7474560440082026E8;100937;3.847408669E8;3.58647906E8;5.4909511E8;5.7951892570366666E7;56368.7;52436.0;63835.0;3009.3076003182746;2.53680415132E10;2.4924651885E10;2.5967184813E10;2.803563827563891E8;1201007.0880104564
