;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(kMap);();false;0.0;9;0;1.0007326776E9;9.99435744E8;1.001981165E9;773340.9593854159;1.16925735941E10;1.104314506E10;1.4701921263E10;1.089961313942075E9;30162;4.1041337159E9;3.53577696E9;6.273350648E9;7.982499101113605E8;2.217558276E8;1.89584292E8;4.59952363E8;8.386212366906407E7;8.20085003E7;7.7651304E7;8.4437195E7;2203284.3775383276;57907.5;48446.0;67825.0;7788.138006681129;1.609798218E8;1.23562358E8;4.43016136E8;9.920894825519677E7;88001.1;63265.0;228552.0;50917.55930357751;4.74048504E7;4.2427486E7;7.9691746E7;1.1437596686069153E7;3.5864660652E9;3.083374227E9;5.816688639E9;8.270681369933634E8;28227.881499539297;3.5800519571E9;3.3665321E9;3.757657209E9;1.532642808910182E8;30162;1.38828958E8;1.0561446E8;3.49434576E8;7.427590262592448E7;1.461645132E8;1.07188108E8;4.8162606E8;1.1787839214869663E8;3.2948975875E9;3.122254881E9;3.542115435E9;1.6283277109420857E8;28227.881499539297
cup;(kMap);();false;0.0;9;0;1.0010828585E9;1.000015389E9;1.002344797E9;821882.0171857935;4.72424936008E10;3.9667629891E10;5.3819255148E10;3.7902162862723265E9;63441;5.6338974752E9;5.461669639E9;6.094036954E9;2.1231954317405215E8;4.596268616E8;3.57736548E8;9.35286685E8;1.9836730570782438E8;1.47306191E8;1.42598302E8;1.57792745E8;5332320.75056047;52606.9;47876.0;66685.0;5674.652538555408;4.089190052E8;3.22504179E8;8.16980455E8;1.785824367899647E8;67596.6;62125.0;74094.0;4383.550037735778;1.628375919E8;8.7223707E7;5.22394406E8;1.5809357069601062E8;4.4514974727E9;4.09947832E9;4.797059372E9;2.641922586018825E8;167254.840410708;8.4239618973E9;5.131180384E9;1.0522104298E10;2.609694875574932E9;63441;9.311616318E8;2.98213246E8;5.888300125E9;1.7476072114006464E9;2.681108767E8;2.14703939E8;7.06353236E8;1.541482410607318E8;7.2245247853E9;4.239524361E9;1.0001604995E10;2.7240043088104453E9;167254.840410708
fars;(kMap);();false;0.0;9;0;1.0018541792E9;9.99891139E8;1.011796368E9;3521838.858275754;4.11783487022E10;3.7757957006E10;4.2979728393E10;1.3101882612747602E9;100937;1.41095771899E10;1.3152821023E10;2.0181298279E10;2.1405118298131845E9;5.937576195E8;5.13748181E8;8.94047556E8;1.5212749708974567E8;2.860328421E8;2.20766556E8;7.3601144E8;1.5846283963058814E8;52834.9;46167.0;62125.0;5333.437820851472;5.934659733E8;3.3400702E8;8.85479985E8;2.6483501480979624E8;70218.5;61555.0;82074.0;7332.656199798573;2.201867402E8;1.35535414E8;5.46862025E8;1.6934293005217978E8;1.241212472E10;1.1511959661E10;1.8398307118E10;2.1114487756676762E9;108463.1208784605;1.23455223441E10;1.2206379169E10;1.2556556397E10;1.2482893821780638E8;100937;3.925089612E8;3.5411619E8;5.24098003E8;6.936129680620089E7;4.781265905E8;3.19380253E8;5.69144434E8;1.0859017772454819E8;1.14747086817E10;1.1291866793E10;1.1662448426E10;1.576367427446802E8;108463.1208784605
