;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(distinctLDiversity);();false;0.0;9;0;1.0002840659E9;9.99812485E8;1.000666848E9;292238.2858359291;1.16778222344E10;1.1067938693E10;1.3639108749E10;9.070168645564102E8;30162;3.5891273584E9;3.187319289E9;5.518770629E9;6.916808488587763E8;4.722020742E8;1.88354898E8;2.751203033E9;8.030905355587322E8;8.44614749E7;8.1397622E7;8.7843248E7;1755502.976806834;61441.1;45596.0;179536.0;41581.88134124979;1.740041598E8;1.22317006E8;4.09533531E8;9.992274462088755E7;65430.9;58136.0;89483.0;9581.70072412339;4.92133189E7;4.7422005E7;5.274197E7;1671973.0327762433;2.8067339101E9;2.509451857E9;3.133815288E9;1.819186479469632E8;170763.7641568316;2.9655119368E9;2.644684623E9;3.591076891E9;3.015898567768222E8;30162;1.282921339E8;1.10326282E8;2.64141308E8;4.7777444074883536E7;59845.2;54146.0;79794.0;8180.551350612011;2.837024422E9;2.53065306E9;3.478001144E9;3.069100354467821E8;170763.7641568316
cup;(distinctLDiversity);();false;0.0;9;0;1.0001721268E9;9.99648338E8;1.000884571E9;451718.3259524556;6.4960502313E10;5.8588150739E10;7.2188609667E10;4.215934607643955E9;63441;1.28153493E10;9.097326168E9;1.5160649931E10;2.4741834010384507E9;3.973709093E8;3.63495948E8;6.47330927E8;8.794281730533652E7;1.409102646E8;1.33491553E8;1.48208374E8;3835086.4165803264;46508.5;45596.0;47876.0;769.359221112681;8.448180501E8;3.1455159E8;5.537014334E9;1.64867882730778E9;58591.2;55855.0;64405.0;2532.126414256954;1.46360293E8;9.8655304E7;5.47910173E8;1.4111987015040925E8;1.1283267817E10;7.589635474E9;1.3899190834E10;2.718417857962973E9;1202354.6618344877;8.3014780087E9;8.085640371E9;9.09333591E9;3.0677212274249154E8;63441;3.457259322E8;2.95288235E8;4.22410536E8;5.40702340149117E7;54316.8;52436.0;56995.0;1371.176931609403;7.9555675247E9;7.715607034E9;8.695725277E9;2.999538943004672E8;1202354.6618344877
fars;(distinctLDiversity);();false;0.0;9;0;1.0009666444E9;9.99670566E8;1.006919259E9;2148104.992066894;4.09943327046E10;4.0285394378E10;4.2700181189E10;7.407682118758777E8;100937;8.0481579325E9;7.906785491E9;8.265801589E9;1.230223374622257E8;6.095570134E8;5.1350253E8;1.010218731E9;1.733490845239328E8;2.455598472E8;2.11300166E8;2.56577999E8;1.6076514047079843E7;50213.2;45026.0;73525.0;8782.65174838063;5.95172249E8;3.34262361E8;8.0694696E8;2.2223572866699064E8;58762.3;55856.0;63265.0;2287.1333367340003;2.07706083E8;1.55130483E8;6.4241734E8;1.5277298466170985E8;6.3877138689E9;6.175740643E9;6.908937073E9;2.2892560442588958E8;550367.2986122062;6.6210377979E9;6.513069934E9;6.76456108E9;8.09743634379225E7;100937;4.314065987E8;3.50820707E8;5.69970869E8;9.512533525643653E7;55399.6;51866.0;61555.0;2684.053203645561;6.1894457924E9;6.070758263E9;6.37076516E9;8.728903819028047E7;550367.2986122062
