;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(profitabilityJournalist);();false;0.0;9;0;1.0003622069E9;9.99671706E8;1.001009961E9;388565.16242808837;1.18239597313E10;1.1257776045E10;1.432697833E10;9.281784673314346E8;30162;5.657816398E8;5.03084884E8;8.99337313E8;1.3167081571880968E8;1.89578934E8;1.84966513E8;1.92473965E8;2612791.4272335884;8.01308959E7;7.1150392E7;8.4736991E7;4137254.3225086275;30264.5;28497.0;31918.0;1185.1077072476482;1.27894476E8;1.23982416E8;1.36593821E8;3881731.548107508;30378.6;26788.0;45597.0;5467.3603259098745;3.73763695E7;3.6220101E7;4.0168752E7;1257329.6863156059;1.289800705E8;6.9682758E7;4.59697023E8;1.3069456451389581E8;0.0;7.098967072E8;3.00158505E8;3.245714077E9;9.018463934491794E8;30162;4.374247019E8;1.07056448E8;3.054224994E9;9.22832005073792E8;1.662067698E8;1.05616171E8;4.61632022E8;1.2858747331568657E8;1.061826492E8;8.4189834E7;2.80750951E8;6.140088045407087E7;0.0
cup;(profitabilityJournalist);();false;0.0;9;0;1.0000814464E9;9.99317194E8;1.000330574E9;312261.1065446494;6.29568489555E10;5.7360580625E10;6.6154721824E10;2.896881634180137E9;63441;1.5744752848E9;1.265126761E9;1.712023154E9;1.2056319796795774E8;4.209677502E8;3.58495158E8;6.68868975E8;1.1511197960336569E8;1.764867717E8;1.37842594E8;4.94986957E8;1.1191805649362369E8;33399.5;30207.0;49016.0;5669.049347112795;3.4953295E8;3.01211212E8;6.51417508E8;1.0642845121406715E8;28212.6;26218.0;30207.0;1427.897148490278;1.09077282E8;7.6373465E7;3.89379906E8;9.849232272803701E7;5.163841112E8;3.63176772E8;8.1411244E8;1.93059505556576E8;0.0;1.76083967E9;9.05589155E8;6.265175777E9;1.5878379932743044E9;63441;3.439179198E8;2.934393E8;7.04294558E8;1.2691994007288852E8;9.101563218E8;2.11951625E8;5.567546279E9;1.6483738859008799E9;5.066806761E8;3.8023953E8;8.2972808E8;1.9619557699486622E8;0.0
fars;(profitabilityJournalist);();false;0.0;9;0;1.0001610693E9;9.99408956E8;1.000922188E9;420123.0364995077;4.20635568188E10;3.9767965424E10;4.4128829887E10;1.1123595432977E9;100937;1.8903300216E9;1.658410292E9;2.269836303E9;1.5626970626682234E8;7.288435659E8;5.04779361E8;1.040847569E9;2.2821501556341588E8;2.463667334E8;2.21892788E8;2.56831059E8;1.3714626900579568E7;31632.6;30208.0;34198.0;1115.8839246683917;4.779363965E8;3.33087113E8;8.98475541E8;2.291580860283443E8;29295.7;26218.0;33627.0;2593.677999803882;2.28048307E8;1.21580624E8;6.54060391E8;2.1988647712921622E8;2.072940621E8;1.56221948E8;6.30022519E8;1.4867153377205542E8;0.0;1.2558202998E9;9.07644983E8;1.367995176E9;1.5217326114335337E8;100937;4.387598798E8;3.44102643E8;8.34160054E8;1.8979023304084173E8;6.123364016E8;3.17939976E8;8.16901802E8;2.1952348197661385E8;2.046423445E8;1.96750912E8;2.41989989E8;1.3369466681874406E7;0.0
