;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(dPresence);();false;0.0;9;0;1.0003696732E9;9.99663156E8;1.001589606E9;582918.6346223248;1.15546651141E10;1.1141486889E10;1.4128290139E10;9.155437511004837E8;30162;2.27113347045E10;2.1830082022E10;2.4517909426E10;9.750596654915355E8;2.682339304E8;1.92717907E8;5.42490466E8;1.3350977568358548E8;8.00982374E7;7.6732536E7;8.6565978E7;2650163.277715721;60928.1;42746.0;168137.0;38839.36591612518;1.944107316E8;1.16233301E8;4.75774897E8;1.366751753777671E8;61099.1;58705.0;65545.0;2339.279397592344;8.67069854E7;7.758177E7;1.51660593E8;2.2906247108323347E7;2.20763082617E10;2.1263490989E10;2.4038207536E10;9.850455569628838E8;42668.3860074087;2.04143167687E10;2.0158968563E10;2.0689436388E10;1.9270232995834464E8;30162;1.292999294E8;1.08742376E8;1.90671766E8;3.0434658866184164E7;1.152367909E8;1.06124001E8;1.86971046E8;2.522691009100382E7;2.01696150464E10;1.9935886278E10;2.0463691841E10;2.0945613478429386E8;42668.3860074087
cup;(dPresence);();false;0.0;9;0;1.00016409E9;9.99387297E8;1.001442557E9;686498.0845120157;5.54091587284E10;4.7559227208E10;6.4624689445E10;4.625216012461285E9;63441;5.153390933603E11;5.05192750964E11;5.28253725941E11;7.5363739858479595E9;3.743042411E8;3.59144908E8;3.8894104E8;8942496.209791021;1.521001433E8;1.41292533E8;1.59395459E8;5752520.538637593;49700.1;45026.0;62695.0;5817.5087728530525;3.740762587E8;3.23881191E8;7.12507616E8;1.1901591399628131E8;58078.5;54716.0;60985.0;2088.787593584161;1.65665369E8;1.6285053E8;1.70439487E8;2776681.511435028;5.142695410661E11;5.04138549338E11;5.27227272598E11;7.502903303532484E9;236640.22823762172;5.14250979212E11;5.00256841318E11;5.33034792362E11;1.326988979071243E10;63441;3.200046395E8;3.1008029E8;3.30297751E8;5928210.727783277;2.179728619E8;2.15261926E8;2.27696074E8;3621870.1494723368;5.137128405843E11;4.997147692E11;5.32495212089E11;1.3268553551333782E10;236640.22823762172
fars;(dPresence);();false;0.0;9;0;1.0009439602E9;9.99931035E8;1.00499623E9;1559114.7779064176;4.38398376651E10;3.8192379923E10;4.525361651E10;2.1652971747288027E9;100937;8.933419693E10;8.7084766059E10;9.4167883807E10;1.9729447954658577E9;1.2398271779E9;5.29879061E8;7.164176246E9;2.0850556648979445E9;4.005860283E8;2.5066756E8;7.62849504E8;2.3350580826987422E8;47306.5;44457.0;53006.0;2534.5914091054424;5.133427717E8;3.41479137E8;9.90152879E8;2.6183559303345454E8;60985.2;56995.0;68395.0;3837.663374734394;3.466590066E8;2.56985517E8;6.88792339E8;1.713636507779316E8;8.68301709923E10;8.5225387185E10;8.8161320769E10;1.0203734547853231E9;167841.0317224942;8.7010437196E10;8.6220188052E10;8.8146101818E10;6.245905956660471E8;100937;4.080703987E8;3.56779592E8;5.68519763E8;8.025997700771694E7;3.675134494E8;3.19361444E8;5.57944239E8;9.606521946865088E7;8.62346786565E10;8.551964665E10;8.7454200942E10;6.640964466693203E8;167841.0317224942
