;;lpl dataset size;lpl anonymization
PrivacyModel;Dataset;Value;Arithmetic Mean
(enhancedBLikeness);adult;30162;9.78
(enhancedBLikeness);cup;63441;156.62
(enhancedBLikeness);fars;100937;25.4
