;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(enhancedBLikeness);();false;0.0;9;0;1.0008564151E9;1.000084354E9;1.002955219E9;872880.7922484733;1.12341777793E10;1.1032382591E10;1.1517932794E10;1.391789149982608E8;30162;1.03833782172E10;9.221862581E9;1.2373657113E10;1.2941816437048187E9;2.347825021E8;1.88251165E8;5.16778635E8;9.945572228688852E7;7.92353251E7;7.6439579E7;8.5580526E7;2994478.7165290816;47876.2;43316.0;62695.0;5837.247673347431;1.985899302E8;1.25146265E8;4.83534271E8;1.3875648305832016E8;66684.7;56996.0;85493.0;10255.597864906105;9.19924675E7;5.7658406E7;3.60432437E8;9.453359101371455E7;9.7761821306E9;8.636111924E9;1.1889733563E10;1.3114514207007833E9;354687.7493117178;8.6767352154E9;8.51683677E9;8.93329298E9;1.642192916796707E8;30162;1.327552274E8;1.11025048E8;1.81424238E8;2.8265225635458738E7;75575.9;54145.0;176686.0;38358.41087674109;8.543758674E9;8.385041405E9;8.758589087E9;1.5318912990512666E8;354687.7493117178
cup;(enhancedBLikeness);();false;0.0;9;0;1.0020809075E9;9.99641498E8;1.017333486E9;5371941.028667038;5.93691308121E10;4.8049001922E10;6.8870657723E10;6.540289326784719E9;63441;1.578123469455E11;1.51205340141E11;1.61983378389E11;3.26485782333042E9;5.043321175E8;3.75195993E8;8.25097191E8;1.9576721345254052E8;1.434208042E8;1.40500295E8;1.49654921E8;2901227.355727986;49073.2;42746.0;76374.0;9781.744161674054;3.771059714E8;3.26658015E8;7.08315023E8;1.1674837928224891E8;59788.3;54716.0;65545.0;3328.247021080817;1.652515812E8;1.21910058E8;5.24403499E8;1.2621173936172034E8;1.566193685123E11;1.49826605294E11;1.6100397031E11;3.3399268291101108E9;2136570.8799262443;1.508066260746E11;1.47956720431E11;1.55620544729E11;1.9725228472170527E9;63441;3.16758971E8;3.06632059E8;3.35354396E8;9174052.279456737;57850.3;54145.0;67825.0;3969.534846805101;1.504896435671E11;1.47642678381E11;1.55297640441E11;1.9689741800658355E9;2136570.8799262443
fars;(enhancedBLikeness);();false;0.0;9;0;1.0005137009E9;9.99572533E8;1.001068667E9;524686.4908185015;4.2401140595E10;4.1323284449E10;4.371835764E10;8.072422061341637E8;100937;2.70161948861E10;2.6796863877E10;2.7246410563E10;1.4641346801702762E8;6.221657966E8;5.20413241E8;8.95850895E8;1.4215730647592664E8;2.45884551E8;2.24026701E8;2.54445225E8;8859554.386361778;49243.9;43886.0;69535.0;7329.852028974847;4.750704891E8;3.36221867E8;8.23047632E8;2.106196801931374E8;61441.2;56995.0;67825.0;4706.3245579161285;2.750958526E8;1.94879748E8;6.19280568E8;1.6556903771977505E8;2.53953700238E10;2.5194585651E10;2.5559234618E10;1.2697584715387596E8;1201007.0880104564;2.59888418107E10;2.5428962174E10;2.6549414286E10;3.076322908220653E8;100937;4.260599033E8;3.59269157E8;5.83310677E8;9.982239503613856E7;57907.6;49586.0;67825.0;5183.589258419305;2.55625372821E10;2.5061775195E10;2.5974192415E10;2.870768916367523E8;1201007.0880104564
