;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(orderedDistanceTCloseness);();false;0.0;9;0;1.0001095453E9;9.99405536E8;1.000679956E9;366809.31355892075;1.11943491196E10;1.102829487E10;1.1563145653E10;1.5566679477387238E8;30162;1.1152463775E10;1.0283592748E10;1.3436635484E10;1.2044592339887943E9;1.999328592E8;1.91750693E8;2.10143156E8;6002189.971460135;8.02301822E7;7.8106129E7;8.1873535E7;1140205.695078529;47705.4;45597.0;49586.0;1317.498488297678;1.326058423E8;1.28225165E8;1.39942309E8;3941944.084769963;66912.6;55286.0;140209.0;26370.63405128263;1.254950775E8;5.5777553E7;4.16190611E8;1.4513171242523816E8;1.06111446813E10;9.817574349E9;1.261630483E10;1.1529299935579228E9;185757.34502842638;9.4548422565E9;9.342903456E9;9.704449586E9;1.009305288705723E8;30162;1.191298718E8;1.06546908E8;1.80459874E8;2.1748236273697753E7;54829.6;42176.0;94612.0;20799.348009012207;9.3355383202E9;9.22648378E9;9.59774708E9;1.0533616042045204E8;185757.34502842638
cup;(orderedDistanceTCloseness);();false;0.0;9;0;1.0001445978E9;9.99589062E8;1.000666848E9;375737.2082168896;6.72882333831E10;6.021701169E10;7.2492743612E10;3.6632827725322127E9;63441;3.505765687882E11;3.45510459538E11;3.65315145484E11;5.642462639291967E9;4.408963576E8;3.60681507E8;7.61695344E8;1.4338301001842636E8;1.499724998E8;1.40673562E8;1.71135403E8;8651460.460377567;47876.3;45026.0;51296.0;1861.4421559640255;3.295839954E8;3.21276495E8;3.54081992E8;9764957.188934218;58477.3;54715.0;67825.0;4138.249094323186;2.464007598E8;1.14289753E8;5.73052049E8;2.0694803031019026E8;3.494063440036E11;3.4412355267E11;3.63905291638E11;5.592219528419012E9;1258714.3551121498;3.438755241166E11;3.41136364698E11;3.49491633338E11;2.46238777673731E9;63441;3.091651119E8;2.96270268E8;3.23913679E8;8867028.417342024;45653.6;41607.0;47307.0;1666.0995168356542;3.435662016969E11;3.40838136633E11;3.49185193924E11;2.4623411219514203E9;1258714.3551121498
fars;(orderedDistanceTCloseness);();false;0.0;9;0;1.0000887991E9;9.9936108E8;1.001474475E9;610378.0304416909;4.27110738933E10;4.1014448371E10;4.4962610351E10;1.3828116559814827E9;100937;3.58887069019E10;3.5692549485E10;3.6318728794E10;1.8955403884111035E8;5.383283662E8;5.17973261E8;5.84080118E8;1.8170742625068232E7;2.555834266E8;2.37935895E8;2.62611547E8;7278690.763188562;48047.5;45027.0;55286.0;2931.630992771392;5.744418856E8;3.3273488E8;7.7929215E8;2.0699365200020733E8;56368.5;52436.0;58135.0;1506.649797103199;3.067968332E8;1.81908701E8;6.14803568E8;1.949963678913221E8;3.42114079441E10;3.3932758363E10;3.4663388283E10;2.272938964367176E8;626878.6802785888;3.49291560727E10;3.449776207E10;3.5417532856E10;2.8036606079567194E8;100937;3.957614689E8;3.4886063E8;5.62630413E8;7.937644846775109E7;45083.6;42177.0;49586.0;2088.9664749184785;3.45332314821E10;3.4139956558E10;3.4889999732E10;2.3118512584069964E8;626878.6802785888
