;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(inclusion);();false;0.0;9;0;9.999910515E8;9.99562274E8;1.000364201E9;328752.1656598714;1.16438797328E10;1.1098547583E10;1.3445475494E10;6.854607008034532E8;30162;6.283793944E8;5.12904077E8;8.37729685E8;1.4207075411711892E8;2.197031898E8;1.85575794E8;4.37764566E8;7.695995204310632E7;8.0144632E7;7.5624543E7;8.6758054E7;3231289.6504361155;33684.5;31348.0;37617.0;2000.5716544139188;1.832871953E8;1.15690133E8;4.37347359E8;1.2230335346835554E8;32316.3;30208.0;34197.0;1289.7923217841442;3.23723886E7;3.059635E7;3.379494E7;1005405.8703227157;1.109507256E8;8.0833366E7;3.35097346E8;7.893456013186234E7;0.0;3.706839979E8;3.12193684E8;6.18801805E8;1.0639457913299736E8;30162;1.346447438E8;1.08459108E8;3.10560192E8;6.213843123304892E7;1.067852628E8;1.05936485E8;1.08219157E8;761577.6620032918;1.291380622E8;9.6465535E7;3.88343157E8;9.117454684309137E7;0.0
cup;(inclusion);();false;0.0;9;0;1.0002079199E9;9.99420356E8;1.00179992E9;715152.6007707802;6.47829610097E10;6.2305086339E10;6.9110571933E10;2.5614965180997977E9;63441;1.4600653853E9;1.247794415E9;1.66701377E9;1.9133858074059743E8;3.700901042E8;3.59852222E8;3.82181938E8;6731030.798950546;1.776028584E8;1.39298259E8;4.80107699E8;1.0632902430396223E8;55057.7;31917.0;184665.0;50535.13754485861;3.204225879E8;2.96040006E8;3.33968264E8;1.0886788365495466E7;33285.6;29638.0;50156.0;6056.78488602291;6.71454862E7;6.5751774E7;6.8888809E7;1114548.1203034509;5.226247818E8;3.56765913E8;7.4893974E8;1.8723155032167393E8;0.0;1.0121170826E9;8.88219191E8;1.26641771E9;1.6918196890737963E8;63441;3.772346102E8;2.91965394E8;6.79403462E8;1.5874371329493135E8;2.157513467E8;2.13362265E8;2.26445022E8;3833415.858386531;4.190141138E8;3.72831248E8;7.30476602E8;1.0990845570664732E8;0.0
fars;(inclusion);();false;0.0;9;0;1.0001202036E9;9.99787977E8;1.000718714E9;262226.26689864614;4.21904290225E10;3.9301059034E10;4.3976790843E10;1.1712694861165493E9;100937;1.8316679805E9;1.406706552E9;1.982167803E9;1.6270480671193406E8;5.572074574E8;5.0966502E8;8.73540558E8;1.113968512243275E8;2.942810097E8;2.23680168E8;7.26241833E8;1.5232538675101465E8;35394.4;31348.0;47307.0;4633.929894448843;5.910746684E8;3.32290885E8;9.00064576E8;2.684578247174578E8;32943.6;30778.0;34767.0;1561.808438957864;1.911146792E8;1.02450068E8;5.96041204E8;1.8340333706326947E8;1.959765135E8;1.92721327E8;2.04154634E8;3449381.062823598;0.0;1.3642010963E9;1.04864342E9;1.661107321E9;1.5751705210810527E8;100937;5.603971564E8;3.4643262E8;8.10752552E8;2.2097017221061882E8;4.626981807E8;3.17568934E8;7.61930166E8;2.030561145981489E8;3.409968409E8;2.35473117E8;6.08277577E8;1.5325041882998094E8;0.0
