;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(profitabilityJournalistNoAttack);();false;0.0;9;0;9.999799374E8;9.99427194E8;1.000491872E9;320867.54459890974;1.18450913441E10;1.1093812963E10;1.2836922058E10;5.2074490680599326E8;30162;1.161387625E9;9.64307108E8;1.275568345E9;1.2690286926303552E8;2.953709928E8;1.85027498E8;5.13319575E8;1.3625477922585544E8;1.065696488E8;7.4056595E7;3.50189197E8;8.566236831320466E7;30549.8;28498.0;34197.0;1786.2695329777207;1.22774053E8;1.07909671E8;1.45343777E8;1.1057320514936248E7;27699.8;25648.0;30208.0;1321.841711821469;6.95559418E7;3.8238884E7;3.38601432E8;9.453835175193599E7;5.652907372E8;5.3181349E8;8.33652793E8;9.433822838274649E7;38119.0024832067;8.315325589E8;7.61654877E8;1.11445675E9;1.292953112623689E8;30162;1.409849857E8;1.06821626E8;3.76460154E8;8.301238181027365E7;1.365197265E8;1.04924815E8;4.13590475E8;9.735585680261464E7;5.539483381E8;5.4680104E8;5.77343814E8;9190980.907915318;38119.0024832067
cup;(profitabilityJournalistNoAttack);();false;0.0;9;0;1.0004858301E9;9.99570253E8;1.00487483E9;1557108.3658717063;6.56660161765E10;5.8462700688E10;7.103878661E10;3.80781483075299E9;63441;2.4436919893E9;2.131046444E9;2.611756586E9;1.6489060362323108E8;4.196757752E8;3.50357903E8;6.92625289E8;1.1838325187017769E8;1.46279587E8;1.40464388E8;1.56850609E8;4966489.861779466;30435.6;28497.0;32488.0;1294.360691615749;4.29586104E8;3.0816239E8;7.65315131E8;1.8118601615458062E8;29637.7;28497.0;34767.0;1937.3986597153066;1.207857065E8;8.1335497E7;4.58612968E8;1.18705674115676E8;1.3252262867E9;1.215011715E9;1.702150385E9;1.9109051346968472E8;190113.595502309;2.0327290096E9;1.73704249E9;2.191302138E9;1.9833923102661005E8;63441;3.800373661E8;2.82762324E8;7.18512097E8;1.7128593732075456E8;3.675645746E8;2.12308986E8;6.70401015E8;2.01270614017133E8;1.2850440832E9;1.230590309E9;1.645634739E9;1.2826790049061234E8;190113.595502309
fars;(profitabilityJournalistNoAttack);();false;0.0;9;0;1.0009203639E9;9.99982901E8;1.007432789E9;2291114.665093752;4.31181767921E10;4.109434359E10;4.4672497881E10;9.11561839945178E8;100937;5.6135434535E9;5.029893595E9;6.189981551E9;3.4966909499191165E8;6.438480999E8;5.01739219E8;9.97754946E8;2.0072175301130265E8;3.105382487E8;2.20243336E8;8.69488745E8;1.967145650059896E8;30948.3;29067.0;33057.0;1344.7563224118587;3.831581577E8;3.28753171E8;8.05718136E8;1.4856033755180797E8;29010.7;25648.0;33058.0;2286.911796870764;2.743402055E8;1.28939889E8;6.54764287E8;2.3141660654262832E8;3.9999020249E9;3.760719011E9;4.480825843E9;3.042612144462129E8;146598.6898876325;4.9487024681E9;4.600279963E9;5.424554138E9;2.3925732485912955E8;100937;4.837603156E8;3.47756057E8;8.34675294E8;1.8859248031141156E8;4.397137569E8;3.19715387E8;7.84772842E8;1.8379760349492064E8;4.025146151E9;3.796917453E9;4.421350418E9;2.132145289400643E8;146598.6898876325
