;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(kAnonymity);();false;0.0;9;0;1.0012389122E9;1.000381301E9;1.002523193E9;659138.4700482222;1.22425006683E10;1.0463528833E10;1.4270546468E10;1.1146100880402906E9;30162;4.1979057555E9;3.429879233E9;6.442561311E9;8.672335582125808E8;2.120514236E8;1.83879037E8;3.40806589E8;4.727228810576952E7;1.597471794E8;7.848401E7;5.38199271E8;1.6362638881760317E8;288169.4;67255.0;2001683.0;602849.5871372892;2.075375473E8;1.07626403E8;5.52094786E8;1.4610915932112297E8;264915.3;67255.0;1895672.0;573358.3032206048;9.3688826E7;4.1529236E7;4.92874702E8;1.4104593185920605E8;3.5101196166E9;2.97978026E9;4.865859268E9;5.406627926763958E8;282939.0335460752;3.4905823975E9;3.136899886E9;3.813992179E9;2.1374902159651148E8;30162;1.468307344E8;1.05928506E8;4.20079988E8;9.61654224990223E7;94441.4;54716.0;313475.0;79178.88039847215;3.3430087265E9;2.994424125E9;3.684122123E9;2.4331548736728734E8;282939.0335460752
cup;(kAnonymity);();false;0.0;9;0;1.0003712692E9;9.99716163E8;1.001471055E9;624381.28754664;5.08708577203E10;4.6555816595E10;6.0713601361E10;3.9411769274726696E9;63441;5.6982510917E9;4.93803444E9;1.0232465462E10;1.6037673893075042E9;5.03417567E8;3.54524848E8;8.5059415E8;1.955962176766639E8;1.428697147E8;1.40152623E8;1.48288167E8;2566331.7125187786;87829.9;61555.0;265599.0;62584.144265407456;3.332861981E8;3.04843539E8;4.840649E8;5.340386513629743E7;99514.2;59845.0;266739.0;71492.1024959323;1.358933454E8;8.8205741E7;5.20386453E8;1.355068991535525E8;4.5780664601E9;3.587140778E9;9.312196534E9;1.678533237707928E9;1743752.7243289542;5.4482622343E9;4.009574112E9;1.0674805061E10;2.4487114788033905E9;63441;3.959092014E8;3.01162766E8;7.16269322E8;1.546690228704799E8;75120.1;53006.0;193785.0;42441.905032251634;5.0520739254E9;3.590365586E9;1.0365816806E10;2.500704537490411E9;1743752.7243289542
fars;(kAnonymity);();false;0.0;9;0;1.0003502375E9;9.99436884E8;1.00102649E9;546912.1559267996;4.15908891476E10;3.8332541665E10;4.2960234776E10;1.3917829969069982E9;100937;1.30435051009E10;1.2180139559E10;1.9282649472E10;2.195366420205901E9;6.073780736E8;5.14617933E8;8.79069696E8;1.387857869752222E8;2.985487222E8;2.21008217E8;7.62196335E8;1.635062922177438E8;69420.5;63265.0;80934.0;6042.61424752933;5.773153159E8;3.38521638E8;9.00880182E8;2.4707254875566965E8;62353.2;56426.0;66685.0;4292.223842148858;1.422169446E8;1.36975121E8;1.48154798E8;3798112.2042410076;1.14142927166E10;1.0490487728E10;1.804454772E10;2.3323951425491962E9;1089487.3926609105;1.09082624168E10;1.0737603896E10;1.1228361213E10;1.5457875311387607E8;100937;4.595116738E8;3.45577117E8;7.18144476E8;1.2458775251915202E8;67140.7;53576.0;127670.0;22168.588748998485;1.04484928381E10;1.0207543019E10;1.0767200544E10;1.7181260300594434E8;1089487.3926609105
