;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(profitabilityProsecutor);();false;0.0;9;0;1.0000021088E9;9.99370769E8;1.000693636E9;415431.5692173622;1.17109530625E10;1.1207951107E10;1.277480945E10;5.793864074842318E8;30162;5.434498722E8;4.96348011E8;7.8491875E8;8.67366002620885E7;2.191532399E8;1.80370961E8;4.79052142E8;9.140985244669856E7;8.05617256E7;7.5952838E7;8.5540628E7;3444175.0406028437;34026.2;31918.0;35337.0;1006.9654964849149;1.251145754E8;1.10934995E8;1.32873722E8;6032927.096368823;32373.5;30208.0;37617.0;2276.6921057631935;3.69586493E7;3.5672373E7;3.8189297E7;816906.3619746622;7.92026665E7;7.3037515E7;1.18124413E8;1.3714922439044401E7;0.0;3.243081453E8;1.98196889E8;5.39053064E8;1.476861509106943E8;30162;2.004288915E8;1.09375597E8;4.00273465E8;1.2950363446884885E8;55684.7;38757.0;192075.0;47944.085039067475;1.237186973E8;8.8282684E7;4.07230911E8;9.983194387168841E7;0.0
cup;(profitabilityProsecutor);();false;0.0;9;0;1.000203303E9;9.99422065E8;1.001475615E9;597681.9482967323;6.27203483796E10;5.878939689E10;6.6233840765E10;2.359062705179018E9;63441;1.5134793899E9;1.275516479E9;1.702993919E9;1.6097133082155958E8;4.53590121E8;3.59161435E8;7.94042597E8;1.5209589147678846E8;1.458750897E8;1.36934654E8;1.53201183E8;5072545.091378358;34368.4;32487.0;38757.0;1762.8967449437682;4.10496357E8;3.08340785E8;6.42060549E8;1.4962085454034E8;33285.5;31347.0;34767.0;1146.1501986117603;1.089852913E8;7.5898692E7;3.93432289E8;9.994849418952091E7;3.924438723E8;3.7408116E8;4.76904549E8;3.1392898748475965E7;0.0;7.99713768E8;6.9311431E8;1.146360008E9;1.7879032603897932E8;63441;3.501278127E8;2.97503082E8;7.52869014E8;1.4162045611961478E8;40808.9;38757.0;41607.0;938.436341296876;4.494359436E8;3.93341096E8;8.1679864E8;1.3030800196887541E8;0.0
fars;(profitabilityProsecutor);();false;0.0;9;0;1.0003863158E9;9.99380459E8;1.00511535E9;1709766.821277997;4.24124121485E10;3.9919954312E10;4.4638267495E10;1.3094014302825108E9;100937;1.8665294211E9;1.404040301E9;2.279481089E9;2.3766299015185198E8;6.45343492E8;5.13511079E8;9.58945537E8;1.7761966041905454E8;2.436645174E8;2.20344219E8;2.57236297E8;1.408877077841583E7;32943.6;31347.0;35338.0;1338.0803164733175;5.111646301E8;3.31251286E8;8.80862206E8;2.3354969702519605E8;32430.5;30208.0;34197.0;1381.663349412986;1.604965567E8;1.20827712E8;4.97516989E8;1.184255965710707E8;3.039720768E8;1.6425091E8;6.41244372E8;2.2340186048475218E8;0.0;7.893241641E8;5.58027453E8;1.103844749E9;2.440673322018856E8;100937;4.961434531E8;3.38771279E8;8.93344231E8;2.3985232242067066E8;40067.9;38187.0;43317.0;1544.6255533299973;2.930405587E8;2.07344675E8;6.3974083E8;1.735323754478486E8;0.0
