;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(profitabilityProsecutorNoAttack);();false;0.0;9;0;1.0001646601E9;9.99460252E8;1.000742082E9;375399.78299746587;1.17849459941E10;1.1133268701E10;1.3043520661E10;6.963310874363163E8;30162;1.0440832067E9;9.1768817E8;1.207364053E9;1.2303211968589467E8;1.901792111E8;1.84060283E8;1.97345945E8;4685033.083347733;8.05904511E7;7.6343827E7;8.5321196E7;2928118.8584950827;34368.3;31348.0;38187.0;2216.407656546963;1.72715889E8;1.19810341E8;3.97683587E8;1.0231971208815165E8;33228.5;30778.0;35337.0;1567.830861767656;3.89437472E7;3.777665E7;3.9739576E7;698374.9641173828;5.597785268E8;4.9149199E8;7.25850274E8;1.0501656487511042E8;379417.3460570988;6.759893147E8;6.14843465E8;8.98689844E8;1.1086348390641062E8;30162;1.378533654E8;1.06511001E8;3.50127071E8;7.491070520703085E7;61954.2;38757.0;188085.0;49040.44175938423;5.37971061E8;5.08188266E8;7.75550392E8;8.357148962580745E7;379417.3460570988
cup;(profitabilityProsecutorNoAttack);();false;0.0;9;0;1.0001062398E9;9.99658596E8;1.001085196E9;439491.77736962395;6.32377439337E10;5.5308755143E10;6.9150232285E10;4.241598031358933E9;63441;2.393216675E9;2.093565602E9;2.677559086E9;1.8751515387530085E8;4.457266161E8;3.5846894E8;7.49748507E8;1.3936570011404932E8;1.902776993E8;1.34869135E8;6.16964269E8;1.5000291289405742E8;33513.2;31347.0;35338.0;1491.3721347954856;3.460829526E8;2.92488614E8;6.11940111E8;9.416830304971197E7;35508.1;30778.0;52435.0;6243.542218431244;1.458363328E8;8.090575E7;4.27425004E8;1.2920247334081738E8;1.263156254E9;1.158273787E9;1.598769581E9;1.6602157374071681E8;1978073.9644193049;1.5938901342E9;1.476366511E9;1.884875262E9;1.5223791537372366E8;63441;3.281246812E8;2.94761026E8;5.80267115E8;8.876234391243045E7;41549.6;37617.0;56995.0;5619.341582625336;1.2656197725E9;1.178040414E9;1.587494721E9;1.4455670419310892E8;1978073.9644193049
fars;(profitabilityProsecutorNoAttack);();false;0.0;9;0;1.000306123E9;9.99552585E8;1.003142734E9;1035482.3940581725;4.26631274711E10;3.9902362066E10;4.4161416521E10;1.373765152361045E9;100937;5.3491069082E9;5.177416882E9;5.790821779E9;1.67668379712163E8;5.184380029E8;5.02055545E8;5.33180243E8;1.0613377079569353E7;2.809198853E8;2.18000562E8;6.13793607E8;1.1806954076713167E8;35451.2;29068.0;68394.0;11796.65817839009;4.316149177E8;3.30641434E8;9.10539788E8;2.056635307168215E8;36192.2;27358.0;63835.0;10917.984742819732;4.402867901E8;1.3033457E8;6.07322902E8;2.1427651941869298E8;3.6755849879E9;3.610640612E9;4.150874055E9;1.6723914971426433E8;1472895.1544831402;4.3029268924E9;4.021049026E9;4.628158195E9;2.359748153762856E8;100937;3.896139292E8;3.43538956E8;7.64188899E8;1.3166710259514849E8;42347.5;37047.0;51296.0;4969.170314158201;3.9131444272E9;3.672334304E9;4.281886872E9;2.4443334664064625E8;1472895.1544831402
