;;;;;;;1Second;1Second;1Second;1Second;lpl generation;lpl generation;lpl generation;lpl generation;lpl dataset size;LPL execution;LPL execution;LPL execution;LPL execution;lpl min anonymization;lpl min anonymization;lpl min anonymization;lpl min anonymization;loading data;loading data;loading data;loading data;creating max rules;creating max rules;creating max rules;creating max rules;creating hierarchies;creating hierarchies;creating hierarchies;creating hierarchies;creating definitions;creating definitions;creating definitions;creating definitions;creating privacy models;creating privacy models;creating privacy models;creating privacy models;lpl anonymization;lpl anonymization;lpl anonymization;lpl anonymization;lpl utility;ARX execution;ARX execution;ARX execution;ARX execution;arx dataset size;arx creating definitions;arx creating definitions;arx creating definitions;arx creating definitions;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx creating privacy model;arx anonymization;arx anonymization;arx anonymization;arx anonymization;arx utility
Dataset;PrivacyModel;Distribution;Randomization;Personal Privacy;#PersonalPrivacyAttributes;TargetSize;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Arithmetic Mean;Minimum;Maximum;Standard Deviation;Value
adult;(sampleUniqueness);();false;0.0;9;0;1.0005437944E9;9.99477351E8;1.002123654E9;932752.9165902404;1.15384298753E10;1.1057938255E10;1.3866001757E10;8.317806810938041E8;30162;9.5130402393E9;8.944117575E9;1.1409134563E10;8.238481176179441E8;2.004847472E8;1.89173354E8;2.07924319E8;5860519.22427699;1.117084815E8;7.6094187E7;3.70942415E8;9.14544514317467E7;60415.2;47876.0;71814.0;10238.14960277925;1.914787667E8;1.07062717E8;5.15247734E8;1.3395259463374615E8;107721.8;57565.0;191505.0;59683.16235440463;6.09594174E7;5.9295888E7;6.3335733E7;1394491.0778621552;8.9423260907E9;8.449894358E9;1.090603372E10;7.9353350549087E8;215824.56734827498;8.5792565271E9;8.442571001E9;8.73230388E9;1.0243873590620336E8;30162;1.402723703E8;1.12750303E8;3.42894336E8;7.124301788877502E7;65715.7;54716.0;95752.0;12408.846522183725;8.4387621594E9;8.324138812E9;8.618056873E9;9.72654268260996E7;215824.56734827498
cup;(sampleUniqueness);();false;0.0;9;0;1.0006176036E9;9.99435744E8;1.001307478E9;703557.2889655033;5.21205169724E10;4.7442920954E10;6.9936020788E10;6.855749419883867E9;63441;1.54976336017E10;1.2281437177E10;1.8148097232E10;2.587268144751802E9;4.696568243E8;3.71588746E8;7.60807923E8;1.501536502879158E8;1.411009716E8;1.30918204E8;1.59316236E8;7827775.030490481;64690.0;47306.0;180676.0;40951.63106506124;4.330397494E8;3.10816672E8;7.43785633E8;1.7726611704061005E8;71301.5;62695.0;88913.0;9057.49417456187;1.646860144E8;1.21160566E8;5.27600949E8;1.2754234224388286E8;1.42853202266E10;1.130789736E10;1.6749373476E10;2.5174743393096046E9;1623994.623595052;1.31567538299E10;1.1192949878E10;1.7386957025E10;2.7706929192773323E9;63441;3.702416556E8;3.09190589E8;5.86840412E8;9.290190919233914E7;62353.0;56995.0;87204.0;9024.928082200373;1.27862851613E10;1.0768370093E10;1.7077525345E10;2.8104834108618293E9;1623994.623595052
fars;(sampleUniqueness);();false;0.0;9;0;1.0006518584E9;9.99484191E8;1.001619244E9;729559.5754810189;4.28730746761E10;4.1202718915E10;4.3676888248E10;7.868358770802708E8;100937;2.09379161743E10;2.0765564202E10;2.1089854052E10;7.93641482147973E7;6.206871613E8;5.33006407E8;8.98806685E8;1.3694450943894058E8;2.430481678E8;2.32118929E8;2.52037734E8;7136538.030765863;52721.0;48446.0;75235.0;8115.324817213966;5.383467189E8;3.3810158E8;7.76495948E8;2.0364256801978034E8;63379.1;56426.0;68964.0;4090.555176935712;2.767962574E8;1.96451685E8;6.05121164E8;1.6631371115587637E8;1.92558727926E10;1.9078355769E10;1.9411508997E10;9.756907304546005E7;812203.7033898486;1.98759636666E10;1.9515285351E10;2.0351981137E10;2.2661230795872355E8;100937;3.622302474E8;3.56066578E8;3.6895669E8;4062601.861557858;63607.2;51866.0;84354.0;10207.090768458736;1.95135048103E10;1.915581158E10;1.9986827759E10;2.259780589639163E8;812203.7033898486
